,0
0,0
1,0
2,0
3,0
4,0
5,1
6,2
7,2
8,3
9,3
10,3
11,3
12,4
13,5
14,5
15,6
16,6
17,6
18,7
19,7
20,7
21,8
22,9
23,10
24,10
25,10
26,10
27,11
28,11
29,11
30,11
31,12
32,12
33,12
34,12
35,12
36,12
37,12
38,12
39,12
40,12
41,12
42,13
43,13
44,13
45,14
46,14
47,14
48,14
49,14
50,14
51,15
52,16
53,16
54,17
55,17
56,17
57,17
58,17
59,18
60,19
61,19
62,19
63,19
64,20
65,20
66,20
67,20
68,21
69,21
70,21
71,21
72,22
73,23
74,23
75,23
76,24
77,24
78,24
79,24
80,24
81,24
82,24
83,25
84,26
85,27
86,28
87,28
88,28
89,28
90,28
91,28
92,28
93,28
94,28
95,28
96,28
97,28
98,28
99,28
100,28
101,28
102,28
103,28
104,28
105,28
106,28
107,28
108,28
109,29
110,30
111,30
112,30
113,30
114,30
115,31
116,31
117,31
118,32
119,32
120,32
121,32
122,32
123,32
124,33
125,34
126,34
127,35
128,35
129,35
130,35
131,35
132,36
133,36
134,37
135,38
136,38
137,38
138,39
139,39
140,40
141,41
142,41
143,41
144,41
145,42
146,42
147,42
148,42
149,42
150,42
151,42
152,42
153,43
154,44
155,44
156,44
157,44
158,45
159,45
160,45
161,46
162,46
163,46
164,46
165,46
166,46
167,46
168,47
169,47
170,48
171,49
172,50
173,50
174,51
175,51
176,51
177,51
178,51
179,51
180,52
181,52
182,52
183,53
184,53
185,54
186,54
187,55
188,55
189,55
190,55
191,55
192,55
193,55
194,55
195,56
196,57
197,57
198,58
199,58
200,58
201,59
202,59
203,59
204,59
205,60
206,60
207,60
208,60
209,61
210,62
211,62
212,62
213,63
214,63
215,64
216,64
217,64
218,65
219,65
220,65
221,65
222,65
223,65
224,65
225,66
226,67
227,67
228,68
229,68
230,68
231,68
232,69
233,70
234,70
235,71
236,71
237,72
238,72
239,73
240,74
241,75
242,75
243,75
244,75
245,75
246,76
247,76
248,77
249,78
250,78
251,78
252,79
253,80
254,80
255,80
256,80
257,80
258,80
259,80
260,80
261,80
262,81
263,81
264,81
265,82
266,82
267,83
268,84
269,84
270,84
271,84
272,84
273,84
274,84
275,85
276,85
277,86
278,86
279,86
280,86
281,86
282,86
283,86
284,87
285,88
286,88
287,88
288,88
289,88
290,88
291,89
292,90
293,91
294,91
295,91
296,91
297,92
298,92
299,93
300,94
301,95
302,95
303,95
304,96
305,96
306,96
307,96
308,97
309,97
310,98
311,98
312,98
313,99
314,99
315,99
316,99
317,100
318,100
319,101
320,102
321,102
322,103
323,104
324,105
325,105
326,106
327,107
328,107
329,108
330,108
331,108
332,108
333,108
334,108
335,108
336,108
337,108
338,109
339,109
340,110
341,111
342,111
343,112
344,112
345,112
346,112
347,112
348,113
349,113
350,114
351,114
352,114
353,114
354,114
355,114
356,114
357,114
358,114
359,114
360,115
361,115
362,116
363,117
364,118
365,118
366,118
367,118
368,118
369,119
370,119
371,119
372,119
373,119
374,119
375,120
376,120
377,120
378,120
379,120
380,120
381,120
382,120
383,120
384,121
385,121
386,121
387,122
388,122
389,122
390,123
391,123
392,123
393,123
394,123
395,123
396,124
397,125
398,125
399,125
400,126
401,126
402,127
403,128
404,128
405,128
406,128
407,128
408,128
409,128
410,128
411,129
412,129
413,130
414,130
415,130
416,131
417,132
418,132
419,133
420,133
421,133
422,133
423,133
424,133
425,133
426,133
427,134
428,135
429,135
430,135
431,135
432,135
433,135
434,136
435,136
436,137
437,137
438,137
439,138
440,139
441,139
442,139
443,139
444,139
445,140
446,141
447,142
448,142
449,142
450,143
451,143
452,143
453,143
454,144
455,145
456,146
457,146
458,147
459,148
460,148
461,149
462,150
463,150
464,151
465,152
466,153
467,154
468,154
469,154
470,154
471,154
472,154
473,155
474,155
475,155
476,156
477,157
478,157
479,157
480,158
481,158
482,159
483,159
484,160
485,160
486,160
487,161
488,162
489,162
490,162
491,163
492,164
493,164
494,164
495,165
496,166
497,167
498,167
499,168
500,168
501,168
502,169
503,169
504,169
505,170
506,171
507,171
508,171
509,171
510,172
511,172
512,172
513,172
514,172
515,172
516,172
517,173
518,174
519,174
520,174
521,174
522,174
523,174
524,174
525,174
526,174
527,174
528,174
529,174
530,174
531,175
532,175
