,0
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,1.7071772813796997
13,1.2887653589248658
14,0.7300930023193359
15,0.35623355507850646
16,0.15661616176366805
17,0.09574937000870705
18,0.06087122149765491
19,0.045270593464374544
20,0.03639981672167778
21,0.03349290918558836
22,0.029517741315066813
23,0.02875535637140274
24,0.029631288908421993
25,0.031209795176982878
26,0.03372509181499481
27,0.030287095904350282
28,0.030099784955382347
29,0.03167255874723196
30,0.030878746509552003
31,0.029128240048885347
32,0.02738496046513319
33,0.0283560361713171
34,0.02970226015895605
35,0.030886035040020944
36,0.03151741661131382
37,0.03351398892700672
38,0.034562529623508455
39,0.02958568185567856
40,0.0272209282964468
41,0.024763252958655356
42,0.02771861422806978
43,0.03087371103465557
44,0.033461791649460795
45,0.03464648090302944
46,0.04261096380650997
47,0.04827915504574776
48,0.040678446739912034
49,0.038001255691051485
50,0.03534044921398163
51,0.03127302154898644
52,0.02930237855762243
53,0.02808309197425842
54,0.02661217451095581
55,0.027178021892905236
56,0.026200836710631847
57,0.02567277867347002
58,0.025636886060237885
59,0.026045969501137734
60,0.027258566580712795
61,0.031253200769424436
62,0.03625114522874355
63,0.03615133948624134
64,0.035225223004817965
65,0.03295386955142021
66,0.029429601691663265
67,0.0266034796833992
68,0.025765561684966087
69,0.024803926609456538
70,0.023564424738287924
71,0.023512331955134868
72,0.023630546033382417
73,0.023290523141622544
74,0.023782693222165106
75,0.023878718726336956
76,0.028988939337432386
77,0.03956289142370224
78,0.05407567210495472
79,0.052005574107170105
80,0.04597406201064587
81,0.03712531514465809
82,0.03292885739356279
83,0.029656882397830486
84,0.027402336709201336
85,0.02568246200680733
86,0.026476785726845264
87,0.024695242941379546
88,0.02408743221312761
89,0.024703867360949518
90,0.025065052881836893
91,0.0243972247466445
92,0.024912969768047334
93,0.025096802785992623
94,0.025168484076857567
95,0.026915127225220204
96,0.02910371609032154
97,0.04030989669263363
98,0.04540034979581833
99,0.041506397724151614
100,0.04073802977800369
101,0.03207241464406252
102,0.028619684092700482
103,0.027520365826785565
104,0.026214906200766563
105,0.027266792953014374
106,0.026234028302133082
107,0.024665194749832153
108,0.026235807128250598
109,0.023988387174904348
110,0.024084733985364436
111,0.028477068059146404
112,0.02673759777098894
113,0.027150220610201357
114,0.0271271213889122
115,0.028073614090681077
116,0.02691862564533949
117,0.02836012654006481
118,0.02725694701075554
119,0.028355097584426402
120,0.02756817825138569
121,0.029572892375290392
122,0.030423229932785033
123,0.02926314640790224
124,0.027574411779642104
125,0.02783213760703802
126,0.026627480611205102
127,0.025342896953225134
128,0.025560671463608742
129,0.026657045260071753
130,0.024912196770310403
131,0.024944820441305637
132,0.025309741497039795
133,0.02624441422522068
134,0.02580025028437376
135,0.030412398651242255
136,0.033581376820802686
137,0.03134795464575291
138,0.032321026921272276
